match_id,possession,num_events,team,possession_team,type,ends_with_shot
3912592,1,4,Manchester United W,Aston Villa W,Half Start,0
3912592,2,21,Manchester United W,Manchester United W,Ball Receipt*,0
3912592,3,68,Manchester United W,Aston Villa W,Pressure,0
3912592,4,5,Manchester United W,Manchester United W,Foul Won,0
3912592,5,28,Manchester United W,Manchester United W,Ball Receipt*,0
3912592,6,24,Aston Villa W,Aston Villa W,Pressure,0
3912592,7,9,Aston Villa W,Aston Villa W,Ball Receipt*,0
3912592,8,20,Aston Villa W,Manchester United W,Duel,0
3912592,9,10,Aston Villa W,Manchester United W,Block,0
3912592,10,11,Manchester United W,Manchester United W,Pressure,0
3912592,11,45,Aston Villa W,Aston Villa W,Dispossessed,0
3912592,12,40,Manchester United W,Manchester United W,Ball Receipt*,0
3912592,13,9,Aston Villa W,Aston Villa W,Dispossessed,0
3912592,14,13,Manchester United W,Manchester United W,Miscontrol,0
3912592,15,7,Aston Villa W,Aston Villa W,Pass,0
3912592,16,41,Aston Villa W,Manchester United W,Block,0
3912592,17,5,Aston Villa W,Manchester United W,Goal Keeper,0
3912592,18,39,Aston Villa W,Aston Villa W,Ball Receipt*,0
3912592,19,31,Aston Villa W,Manchester United W,Clearance,0
3912592,20,12,Manchester United W,Manchester United W,Ball Receipt*,0
3912592,21,17,Aston Villa W,Aston Villa W,Dispossessed,0
3912592,22,12,Manchester United W,Manchester United W,Ball Receipt*,0
3912592,23,8,Aston Villa W,Aston Villa W,Ball Receipt*,0
3912592,24,7,Manchester United W,Manchester United W,Ball Receipt*,0
3912592,25,25,Aston Villa W,Aston Villa W,Ball Receipt*,0
3912592,26,55,Manchester United W,Manchester United W,Foul Won,0
3912592,27,1,Manchester United W,Manchester United W,Pass,0
3912592,28,11,Aston Villa W,Aston Villa W,Pressure,0
3912592,29,5,Aston Villa W,Manchester United W,Goal Keeper,0
3912592,30,11,Aston Villa W,Manchester United W,Clearance,0
3912592,31,21,Manchester United W,Aston Villa W,Block,0
3912592,32,4,Manchester United W,Aston Villa W,Goal Keeper,0
3912592,33,3,Manchester United W,Manchester United W,Duel,0
