match_id,possession,num_events,team,possession_team,ends_with_shot,duration,num_passes,num_carries,num_dribbles,num_duels,num_players,pressure_events,num_miscontrols,num_dispossessed,start_x,start_y,end_x,end_y,progression,num_turnovers,pass_ratio,progression_rate
3912592,1,4,Manchester United W,Aston Villa W,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,0.0,0.0,
3912592,2,21,Manchester United W,Manchester United W,0,21.920786,7.0,6.0,0.0,0.0,7,2.0,0.0,0.0,61.0,40.1,64.4,79.6,3.4000000000000057,0.0,0.3333333333333333,0.1551039273865456
3912592,3,68,Manchester United W,Aston Villa W,0,49.032388,18.0,14.0,2.0,2.0,12,18.0,1.0,0.0,48.1,0.1,65.3,69.3,17.199999999999996,1.0,0.2647058823529412,0.3507885440945686
3912592,4,5,Manchester United W,Manchester United W,0,2.093451,0.0,1.0,0.0,0.0,2,2.0,0.0,0.0,69.0,78.8,67.4,76.0,-1.5999999999999943,0.0,0.0,-0.7642882494025388
3912592,5,28,Manchester United W,Manchester United W,0,25.6607951,9.0,7.0,0.0,0.0,10,2.0,0.0,0.0,67.6,76.0,112.6,42.2,45.0,0.0,0.32142857142857145,1.7536479218447911
3912592,6,24,Aston Villa W,Aston Villa W,0,18.528037,3.0,3.0,0.0,0.0,10,5.0,1.0,0.0,1.4,40.2,117.8,67.0,116.39999999999999,1.0,0.125,6.282370873935538
3912592,7,9,Aston Villa W,Aston Villa W,0,10.006687,2.0,1.0,0.0,0.0,6,4.0,0.0,0.0,120.0,80.0,118.9,18.5,-1.0999999999999943,0.0,0.2222222222222222,-0.10992649215469559
3912592,8,20,Aston Villa W,Manchester United W,0,13.172768,5.0,4.0,1.0,1.0,10,8.0,0.0,0.0,7.0,36.1,82.3,1.9,75.3,0.0,0.25,5.716338433957085
3912592,9,10,Aston Villa W,Manchester United W,0,3.655172002,3.0,1.0,0.0,0.0,3,3.0,0.0,0.0,37.3,80.0,85.5,2.9,48.2,0.0,0.3,13.18679393845937
3912592,10,11,Manchester United W,Manchester United W,0,10.973983,3.0,0.0,0.0,0.0,5,3.0,0.0,0.0,37.1,80.0,97.7,60.2,60.6,0.0,0.2727272727272727,5.522151802130548
3912592,11,45,Aston Villa W,Aston Villa W,0,56.848523,13.0,12.0,0.0,0.0,12,10.0,0.0,1.0,21.4,20.4,63.4,74.9,42.0,1.0,0.28888888888888886,0.7388054743304413
3912592,12,40,Manchester United W,Manchester United W,0,31.620266,9.0,10.0,1.0,1.0,12,13.0,0.0,0.0,56.7,5.2,91.2,75.3,34.5,0.0,0.225,1.0910724153933429
3912592,13,9,Aston Villa W,Aston Villa W,0,4.150238004,2.0,2.0,0.0,0.0,5,6.0,0.0,1.0,29.3,8.7,40.3,15.2,10.999999999999996,1.0,0.2222222222222222,2.650450405349812
3912592,14,13,Manchester United W,Manchester United W,0,10.720849000000001,2.0,3.0,0.0,1.0,5,6.0,1.0,0.0,79.8,64.9,118.7,61.6,38.900000000000006,1.0,0.15384615384615385,3.6284439786438556
3912592,15,7,Aston Villa W,Aston Villa W,0,7.680257000000001,3.0,1.0,0.0,0.0,4,1.0,0.0,0.0,6.0,36.0,13.9,53.7,7.9,0.0,0.42857142857142855,1.0286114123524772
3912592,16,41,Aston Villa W,Manchester United W,0,43.537945,12.0,12.0,0.0,0.0,10,9.0,0.0,0.0,84.2,22.0,22.9,61.9,-61.300000000000004,0.0,0.2926829268292683,-1.4079672340988993
3912592,17,5,Aston Villa W,Manchester United W,0,3.988785,1.0,0.0,0.0,1.0,4,2.0,0.0,0.0,120.0,0.1,1.7,39.5,-118.3,0.0,0.2,-29.658154049416048
3912592,18,39,Aston Villa W,Aston Villa W,0,42.797012,12.0,9.0,0.0,0.0,13,5.0,0.0,0.0,6.0,44.0,64.3,39.2,58.3,0.0,0.3076923076923077,1.3622446352095794
